Mes;Demanda
1;145813
2;136500
3;163073
4;172993
5;167497
6;154475
7;181397
8;176281
9;167421
10;167373
11;165123
12;142861
1;152431
2;135879
3;164545
4;163821
5;170690
6;148437
7;169071
8;176528
9;167344
10;171546
11;167206
12;144718
1;166542
2;131859
3;102899
4;165514
5;158136
6;153139
7;168503
8;171274
9;176524
10;176732
11;171578
12;150965
1;168707
2;139179
3;161487
4;161394
5;164113
6;136443
7;159694
8;181421
9;184487
10;188043
11;186444
12;177167
1;193791
2;154932
3;167680
4;171823
5;166187
6;151046
7;176916
8;170559
9;164074
10;174551
11;171217
12;165141
1;181213
2;156308
3;160359
4;160802
5;161621
6;144900
7;168047
8;167142
9;156323
10;166110
11;167411
12;158179
1;186110
2;146735
3;182163
4;165578
5;164819
6;155198
7;179555
8;168715
9;177503
10;184688
11;172416
12;172061
