Mes;Demanda
janeiro-11;145813
fevereiro-11;136500
março-11;163073
abril-11;172993
maio-11;167497
junho-11;154475
julho-11;181397
agosto-11;176281
setembro-11;167421
outubro-11;167373
novembro-11;165123
dezembro-11;142861
janeiro-12;152431
fevereiro-12;135879
março-12;164545
abril-12;163821
maio-12;170690
junho-12;148437
julho-12;169071
agosto-12;176528
setembro-12;167344
outubro-12;171546
novembro-12;167206
dezembro-12;144718
janeiro-13;166542
fevereiro-13;131859
março-13;102899
abril-13;165514
maio-13;158136
junho-13;153139
julho-13;168503
agosto-13;171274
setembro-13;176524
outubro-13;176732
novembro-13;171578
dezembro-13;150965
janeiro-14;168707
fevereiro-14;139179
março-14;161487
abril-14;161394
maio-14;164113
junho-14;136443
julho-14;159694
agosto-14;181421
setembro-14;184487
outubro-14;188043
novembro-14;186444
dezembro-14;177167
janeiro-15;193791
fevereiro-15;154932
março-15;167680
abril-15;171823
maio-15;166187
junho-15;151046
julho-15;176916
agosto-15;170559
setembro-15;164074
outubro-15;174551
novembro-15;171217
dezembro-15;165141
janeiro-16;181213
fevereiro-16;156308
março-16;160359
abril-16;160802
maio-16;161621
junho-16;144900
julho-16;168047
agosto-16;167142
setembro-16;156323
outubro-16;166110
novembro-16;167411
dezembro-16;158179
janeiro-17;186110
fevereiro-17;146735
março-17;182163
abril-17;165578
maio-17;164819
junho-17;155198
julho-17;179555
agosto-17;168715
setembro-17;177503
outubro-17;184688
novembro-17;172416
dezembro-17;172061
