Mes;Demanda
1;145813
2;136500
3;163073
4;172993
5;167497
6;154475
7;181397
8;176281
9;167421
10;167373
11;165123
12;142861
13;152431
14;135879
15;164545
16;163821
17;170690
18;148437
19;169071
20;176528
21;167344
22;171546
23;167206
24;144718
25;166542
26;131859
27;102899
28;165514
29;158136
30;153139
31;168503
32;171274
33;176524
34;176732
35;171578
36;150965
37;168707
38;139179
39;161487
40;161394
41;164113
42;136443
43;159694
44;181421
45;184487
46;188043
47;186444
48;177167
49;193791
50;154932
51;167680
52;171823
53;166187
54;151046
55;176916
56;170559
57;164074
58;174551
59;171217
60;165141
61;181213
62;156308
63;160359
64;160802
65;161621
66;144900
67;168047
68;167142
69;156323
70;166110
71;167411
72;158179
73;186110
74;146735
75;182163
76;165578
77;164819
78;155198
79;179555
80;168715
81;177503
82;184688
83;172416
84;172061
